registration_number,legal_name,trade_name,address,county,status,status_label,date_first_registered,date_registered_begins,registered_through,deleted_date,latitude,longitude
34976,866 EAST TREMONT PHARMACY LLC,BOCA PHARMACY,864B E. TREMONT AVE. BRONX NY 10460,BRONX,Active,Establishment Status,"November 09, 2016","November 01, 2022","October 31, 2025",,40.8429604,-73.886426
25523,86TH ST. PHARMACY CORP.,EISENBERG PHARMACY,203 BRIGHTON BEACH AVE. BROOKLYN NY 11235,KINGS,Active,Establishment Status,"December 20, 2002","January 01, 2023","December 31, 2025",,40.5767035,-73.96695559999999
27296,"904 PROSPECT PHARMACY, INC.",BOCA PHARMACY,904 PROSPECT AVE. BRONX NY 10459,BRONX,Active,Establishment Status,"June 16, 2005","June 01, 2020","May 31, 2023",,40.8211028,-73.9006808
38229,909 COLUMBUS RX NY LLC,QUICK RX,909 COLUMBUS AVE. NEW YORK NY 10025,NEW YORK,Active,Establishment Status,"October 27, 2020","October 27, 2020","September 30, 2023",,40.7982022,-73.96338779999999
35803,A & K DISTRIBUTOR PR LLC,,HANGAR #403 BROMON DR. AGUADILLA PR 00603,,Active,Establishment Status,"September 06, 2017","September 01, 2020","August 31, 2023",,18.4274454,-67.1540698
32532,A & L PHARMACY CORP.,BELLE HARBOR DRUGS,115-14 BEACH CHANNEL DR. ROCKAWAY PARK NY 11694-2206,QUEENS,Active,Establishment Status,"February 07, 2014","February 01, 2023","January 31, 2026",,40.5820453,-73.83780589999999
35712,A&J RX INC.,BIRDS HILL PHARMACY,401 GREAT PLAIN AVE NEEDHAM MA 02492,,Active,Establishment Status,"August 01, 2017","August 01, 2020","July 31, 2023",,42.2761822,-71.2151914
31007,"A&K DISTRIBUTORS, LLC",,204 S ADAIR PRYOR OK 74361,,Active,Establishment Status,"October 31, 2011","October 01, 2020","September 30, 2023",,36.30346000000001,-95.3191138
29235,"A.R.E.B.A. - CASRIEL, INC",,589 ROCKAWAY AVE BROOKLYN NY 11212,KINGS,Active,Establishment Status,"May 07, 2009","May 01, 2021","April 30, 2024",,40.6654132,-73.90944929999999
25510,A.S.M. PHARMACY CORP.,GOOD NEIGHBOOR PHARMACY,1604 AVENUE M BROOKLYN NY 11230,KINGS,Active,Establishment Status,"November 05, 2002","December 01, 2022","November 30, 2025",,40.618036,-73.9587717
21409,"ABA NOUB, LTD.",JOSEPH PHARMACY,216 WEST 72ND STREET NEW YORK NY 10023,NEW YORK,Active,Establishment Status,"September 15, 1992","October 01, 2022","September 30, 2025",,40.7787871,-73.98278479999999
38563,ABACUS DISTRIBUTORS INC,ABACUS DISTRIBUTORS,2601 EAST YANDELL DR. STE 105 EL PASO TX 79903,,Active,Establishment Status,"November 24, 2020","November 24, 2020","October 31, 2023",,31.78025809999999,-106.4647441
31022,ABACUS PHARMACY INC.,,168 2ND AVENUE NEW YORK NY 10003,NEW YORK,Active,Establishment Status,"December 22, 2011","December 01, 2020","November 30, 2023",,40.7301489,-73.9862934
28858,"ABBOTT DIABETES CARE, INC",,1360 SOUTH LOOP ROAD REGULATORY AFFAIRS ALAMEDA CA 94502,,Active,Establishment Status,"March 06, 2008","March 01, 2020","February 28, 2023",,37.7222012,-122.2351776
39575,ABBOTT LABORATORIES INC.,,1921 HURD DR. IRVING TX 75038,,Active,Establishment Status,"June 27, 2022","June 27, 2022","May 31, 2025",,32.8705514,-96.97602219999999
39583,ABBOTT LABORATORIES INC.,,15900 VALLEY VIEW COURT SYLMAR CA 91342,,Active,Establishment Status,"July 01, 2022","July 01, 2022","June 30, 2025",,34.305792,-118.4781846
39582,ABBOTT LABORATORIES INC.,,42301 ZEVO DRIVE TEMECULA CA 92590,,Active,Establishment Status,"May 09, 2022","May 09, 2022","April 30, 2025",,33.5120718,-117.1814345
39574,ABBOTT LABORATORIES INC.,,1915 HURD DR IRVING TX 75038,,Active,Establishment Status,"June 13, 2022","June 13, 2022","May 31, 2025",,32.8713203,-96.9764504
39636,"ABBOTT RAPID DX NORTH AMERICA, LLC",,569 HALLS MILL RD FREEHOLD NJ 07728,,Active,Establishment Status,"June 13, 2022","June 13, 2022","May 31, 2025",,40.2331404,-74.2504062
32512,ABBVIE ENDOCRINOLOGY INC,PHARMACY SOLUTIONS,1 NORTH WAUKEGAN RD AP5-NE NORTH CHICAGO IL 60064-1802,,Active,Establishment Status,"January 23, 2014","January 01, 2023","December 31, 2025",,42.3021242,-87.89157259999999
32736,ABBVIE INC,,1 N WAUKEGAN RD D209 NORTH CHICAGO IL 60064,,Active,Establishment Status,"May 13, 2014","May 01, 2020","April 30, 2023",,42.3021242,-87.89157259999999
36589,ABBVIE INC.,,1401 SHERIDAN ROAD BUILDING M4 NORTH CHICAGO IL 60064,,Active,Establishment Status,"April 13, 2018","April 01, 2021","March 31, 2024",,42.3341217,-87.8378324
31585,ABBVIE US LLC,,1 N WAUKEGAN RD D-GS02 BLDG AP5 NORTH CHICAGO IL 60064,,Active,Establishment Status,"October 25, 2012","October 01, 2021","September 30, 2024",,42.2972148,-87.89409169999999
37898,ABBVIE US LLC,ABBIE INC.,1 N. WAUKEGAN RD. D-076V BLDG. AP32 NORTH CHICAGO IL 60064,,Active,Establishment Status,"January 06, 2020","January 01, 2023","December 31, 2025",,42.2972148,-87.89409169999999
34749,ABBY PHARMACY INC.,,812 60TH STREET BROOKLYN NY 11220,KINGS,Active,Establishment Status,"June 29, 2016","June 01, 2022","May 31, 2025",,40.63509699999999,-74.00934509999999
33718,ABC PHARMACY 6 CORP.,,5304 7TH AVE. BROOKLYN NY 11220,KINGS,Active,Establishment Status,"July 01, 2015","July 01, 2021","June 30, 2024",,40.6407587,-74.00800110000002
30509,ABC PHARMACY V CORP.,ABC PHARMACY,17 E. BROADWAY STORE #105 NEW YORK NY 10002,NEW YORK,Active,Establishment Status,"February 09, 2011","February 01, 2023","January 31, 2026",,40.7133631,-73.9971769
26818,"ABC PHARMACY, INC.",ABC PHARMACY,5401 8TH AVENUE STORE A BROOKLYN NY 11220,KINGS,Active,Establishment Status,"August 17, 2004","August 01, 2022","July 31, 2025",,40.6386824,-74.0059352
28112,ABC RX INC.,1 STOP PHARMACY,1220 AVENUE P BROOKLYN NY 11229,KINGS,Active,Establishment Status,"December 20, 2006","November 01, 2021","October 31, 2024",,40.6099289,-73.960573
33311,ABC SOURCE LLC.,ABC SOURCE PHARMACY,2313 AVENUE U BROOKLYN NY 11229,KINGS,Active,Establishment Status,"April 16, 2015","April 01, 2021","March 31, 2024",,40.599913,-73.9480828
36936,ABC-RIFAIE RX INC,METROPOLITAN DRUGS,1873 SECOND AVE. NEW YORK NY 10029,NEW YORK,Active,Establishment Status,"October 11, 2018","October 01, 2021","September 30, 2024",,40.7847716,-73.94707249999999
33404,ABDEL CHEMISTS 2 INC.,STV CHEMISTS 2,1401 BRONX RIVER AVE. BRONX NY 10472,BRONX,Active,Establishment Status,"May 27, 2015","May 01, 2021","April 30, 2024",,40.8342612,-73.8797944
31000,ABDEL CHEMISTS INC.,STV CHEMISTS,1363 WEBSTER AVE. BRONX NY 10456,BRONX,Active,Establishment Status,"May 14, 2012","May 01, 2021","April 30, 2024",,40.8359177,-73.9079203
24907,ABHINAV CORPORATION,NEW LOTS PHARMACY,739 NEW LOTS AVE. BROOKLYN NY 11207,KINGS,Active,Establishment Status,"January 17, 2001","February 01, 2022","January 31, 2025",,40.66607860000001,-73.883828
35277,"ABITACARE, LLC",VITAL CARE RX,1501 23RD AVE STE. B MERIDIAN MS 39301,,Active,Establishment Status,"March 09, 2017","March 01, 2020","February 28, 2023",,32.3722422,-88.701523
31476,"ABL MEDICAL, LLC",,705 EAST 50 SOUTH AMERICAN FORK UT 84003,,Active,Establishment Status,"August 07, 2012","August 01, 2021","July 31, 2024",,40.3759652,-111.7792101
28915,"ABRAMS ROYAL PHARMACY, INC.",,8220 ABRAMS ROAD DALLAS TX 75231,,Active,Establishment Status,"April 03, 2008","April 01, 2020","March 31, 2023",,32.891992,-96.7409146
38288,1413 RX NY LLC,QUICK RX,1456 FULTON ST BROOKLYN NY 11216,KINGS,Active,Establishment Status,"February 09, 2021","February 09, 2021","January 31, 2024",,40.6797983,-73.94266309999999
38342,167 RX INC,,55 EAST 167TH ST BRONX NY 10452,BRONX,Active,Establishment Status,"August 27, 2020","August 27, 2020","July 31, 2023",,40.8358089,-73.920737
39251,3RD AVENUE CHEMISTS INC.,,3216 3RD AVE STORE #2 BRONX NY 10451,BRONX,Active,Establishment Status,"May 06, 2022","May 06, 2022","April 30, 2025",,40.8232141,-73.9090028
22924,420 2ND AVE DRUG CORP.,HALPERN PHARMACY,331 E. 23RD. ST. NEW YORK NY 10010,NEW YORK,Active,Establishment Status,"August 06, 1996","September 01, 2022","August 31, 2025",,40.7375344,-73.97927729999999
37098,4TH AVE DRUG STORE INC,,26 SOUTH 4TH AVE. MOUNT VERNON NY 10550,WESTCHESTER,Active,Establishment Status,"February 08, 2019","February 01, 2022","January 31, 2025",,40.9108017,-73.83689249999999
39332,"5-LINE MEDICAL SUPPLY, LLC",,811 CHURCH ROAD STE 111 CHERRY HILL NJ 08002,,Active,Establishment Status,"December 17, 2021","December 17, 2021","November 30, 2024",,39.947392,-75.0290958
31934,"5775 MAELOU DRIVE OPERATING COMPANY, LLC.",,5775 MAELOU DRIVE HAMBURG NY 14075-7419,ERIE,Active,Establishment Status,"August 06, 2013","August 01, 2022","July 31, 2025",,42.7316377,-78.8328296
20130,"5TH AVE. DRUG, INC.",SALU RX MED,1805 FIFTH AVE. STORE B BAYSHORE NY 11706,SUFFOLK,Active,Establishment Status,"April 03, 1989","May 01, 2022","April 30, 2025",,40.7725728,-73.2598115
39844,"63RD DRIVE RX, INC.",INTERPHARM RX,94-18 ROOSEVELT AVE STORE 11C & 11D JACKSON HEIGHTS NY 11372,QUEENS,Active,Establishment Status,"November 10, 2022","November 10, 2022","October 31, 2025",,40.74890509999999,-73.8718497
39487,63RD RX CORP.,,98-55 63RD RD REGO PARK NY 11374,QUEENS,Active,Establishment Status,"May 06, 2022","May 06, 2022","April 30, 2025",,40.7326406,-73.8574701
33119,"7 HILLS RX INC,",SMART AID PHARAMACY,708 SAINT NICHOLAS AVE. NEW YORK NY 10031,NEW YORK,Active,Establishment Status,"October 01, 2014","October 01, 2020","September 30, 2023",,40.8243552,-73.9442692
36710,786 RX INC.,EAST END PHARMACY,210 EAST 116TH STREET NEW YORK NY 10029-1452,NEW YORK,Active,Establishment Status,"August 06, 2018","August 01, 2021","July 31, 2024",,40.7975103,-73.9395068
29877,870 SOUTHERN DRUG CORP.,AVITA PHARMACY 1064,924 MYRTLE AVE. BROOKLYN NY 11206-7295,KINGS,Active,Establishment Status,"December 16, 2009","December 01, 2021","November 30, 2024",,40.6956909,-73.945019
36485,92 DRUGS INC.,92 PHARMACY,1938 SECOND AVE. NEW YORK NY 10029-6303,NEW YORK,Active,Establishment Status,"April 04, 2018","April 01, 2021","March 31, 2024",,40.7866327,-73.9451047
34732,9330 LLC,RAPID RX PHARMACY,9330 43RD AVE. ELMHURST NY 11373-2757,QUEENS,Active,Establishment Status,"June 10, 2016","June 01, 2022","May 31, 2025",,40.744088,-73.8713733
30412,A & M PHARMACY AND SURGICAL SUPPLIES LLC,,256-17-19 HILLSIDE AVE. FLORAL PARK NY 11004,QUEENS,Active,Establishment Status,"January 13, 2011","January 01, 2023","December 31, 2025",,40.736866,-73.7112365
21377,A & R DRUG INC.,,39-20 103RD. ST. CORONA NY 11368,QUEENS,Active,Establishment Status,"September 17, 1992","October 01, 2022","September 30, 2025",,40.75001169999999,-73.8629771
37579,35 VALLEY AVE LLC,AHMA RX,35 VALLEY AVE SUITE A ELMSFORD NY 10523-3001,WESTCHESTER,Active,Establishment Status,"August 12, 2019","August 01, 2022","July 31, 2025",,41.0533214,-73.8232543
13282,"353 EMPIRE PHARMACY, INC.",WELLPHA,505 UNION AVE. BROOKLYN NY 11211-1395,KINGS,Active,Establishment Status,"March 24, 1971","April 01, 2022","March 31, 2025",,40.7158921,-73.95207669999999
38484,365 HEALTH LLC,365 PHARMACY,6804 ALOMA AVE WINTER PARK FL 32792,,Active,Establishment Status,"September 25, 2020","September 25, 2020","August 31, 2023",,28.6052066,-81.2973138
31509,39TH STREET PHARMACY INC.,39TH STREET PHARMACY,3902 16TH AVE. BROOKLYN NY 11218,KINGS,Active,Establishment Status,"October 10, 2012","October 01, 2021","September 30, 2024",,40.636685,-73.98003400000002
31475,41 AVENUE PHARMACY LLC.,AA RX PHARMACY,136-33 37TH AVENUE UNIT 1A FLUSHING NY 11354,QUEENS,Active,Establishment Status,"September 06, 2012","September 01, 2021","August 31, 2024",,40.7622489,-73.8300064
32368,"4TH AVENUE PHARMACY, INC.",4TH AVENUE PHARMACY,5002 4TH AVE. BROOKLYN NY 11220,KINGS,Active,Establishment Status,"December 31, 2013","December 01, 2022","November 30, 2025",,40.6465069,-74.0129735
36680,50 OCEANA PHARMACY CORP.,OCEANA PHARMACY,3211 CONEY ISLAND AVE. BROOKLYN NY 11235-7058,KINGS,Active,Establishment Status,"June 15, 2018","June 01, 2021","May 31, 2024",,40.5774753,-73.9593845
24229,90-15 ROOSEVELT PHARMACY CORP.,MI FARMACIA,90-15 ROOSEVELT AVE. JACKSON HEIGHTS NY 11372,QUEENS,Active,Establishment Status,"February 08, 1999","March 01, 2022","February 28, 2025",,40.7486735,-73.87576969999999
28501,902 FOSTER CARE INC.,FIRST CARE PHARMACY,902 FOSTER AVENUE BROOKLYN NY 11230,KINGS,Active,Establishment Status,"August 22, 2007","August 01, 2022","July 31, 2025",,40.6313394,-73.9681752
28070,"A.F. HAUSER, INC.",,4401 E. US HIGHWAY 30 VALPARAISO IN 46383,,Active,Establishment Status,"September 26, 2006","August 01, 2021","July 31, 2024",,41.44775689999999,-87.0073992
38664,AALIF DRUGS INC.,AALIF PHARMACY,183-14 JAMAICA AVE. HOLLIS NY 11423,QUEENS,Active,Establishment Status,"April 19, 2021","April 19, 2021","March 31, 2024",,40.7086053,-73.77668539999999
28681,"ACTAVIS LABORATORIES FL, INC.",,13900 NW 2ND STREET SUNRISE FL 33325-6243,,Active,Establishment Status,"November 06, 2007","November 01, 2022","October 31, 2025",,26.1231,-80.33952359999999
