registration_number,legal_name,trade_name,address,county,status,status_label,date_first_registered,date_registered_begins,registered_through,deleted_date
033179,1070 SOUTHERN DRUG LLC,BOCA PHARMACY,1070 SOUTHERN BLVD BRONX NY 10459-2499,BRONX,Active,Establishment Status,"December 01, 2014","December 01, 2020","November 30, 2023",
039246,108 PHARMACY INC.,,45-02 108TH STREET NEW YORK NY 11368,NEW YORK,Active,Establishment Status,"December 15, 2021","December 15, 2021","November 30, 2024",
014817,108TH ST. PHARMACY INC.,3RD AVE. PRESCRIPTION CENTER,1980 THIRD AVE. NEW YORK NY 10029,NEW YORK,Transfer,Establishment Status,"November 30, 1974",,"March 23, 1998","March 23, 1998"
036469,10TH AVE PHARMACY INC,,4311 10TH AVE. BROOKLYN NY 11219,KINGS,Not Active,Establishment Status,Not On File,,"July 24, 2018","July 24, 2018"
017623,110 NORTH MAIN PHARMACY CORP.,DRUG MART OF NORTH MAIN,110 N. MAIN ST. SPRING VALLEY NY 10977,ROCKLAND,Discontinued,Establishment Status,"November 29, 1982",,"May 22, 1998","May 22, 1998"
017315,"1100 KENMORE AVE., INC.",BUFFALO PHARMACIES,1100 KENMORE AVENUE BUFFALO NY 14216,ERIE,Transfer,Establishment Status,"November 19, 1981",,"March 05, 1993","March 05, 1993"
026228,1101 PHARMACY INC.,FAMILY PHARMACY,1101 FLATBUSH AVE. BROOKLYN NY 11226,KINGS,Transfer,Establishment Status,"October 24, 2003","January 01, 2005","February 27, 2006","February 27, 2006"
038019,1105 JTP LLC,GENOME PHARMACY,1105 JERICHO TPKE NEW HYDE PARK NY 11040,NASSAU,Active,Establishment Status,"April 07, 2020","April 07, 2020","March 31, 2023",
018182,115 IRVING AVENUE PHARMACY INC.,,235 WYCKOFF AVE. BROOKLYN NY 11237-5303,KINGS,Discontinued,Establishment Status,"June 11, 1984","July 01, 2016","September 08, 2016","September 08, 2016"
035113,115 IRVING AVENUE PHARMACY INC.,ATLANTIC PHARMACY & SURGICAL SUPPLIES,1706-B ATLANTIC AVE. BROOKLYN NY 11213,KINGS,Transfer,Establishment Status,"December 27, 2016","December 27, 2016","April 19, 2019","April 19, 2019"
033751,1150 WEBSTER PHARMACY INC.,167TH STREET PHARMACY,1150 WEBSTER AVE. BRONX NY 10456-5205,BRONX,Active,Establishment Status,"August 28, 2015","August 01, 2021","July 31, 2024",
022223,1157 BLAKE AVENUE PHARMACY CORP.,EBONY PHARMACY,1157 BLAKE AVE. BROOKLYN NY 11208,KINGS,Discontinued,Establishment Status,"October 19, 1994",,"October 07, 1998","October 07, 1998"
030486,1163 NOSTRAND CORP.,QUICK RX,8401 101ST STREET OZONE PARK NY 11416,QUEENS,Not Active,Establishment Status,Not On File,,"March 10, 2014","March 10, 2014"
018487,118-18 PHARMACY INC.,LEFFERTS PHARMACY,118-18 101ST AVE. RICHMOND HILL NY 11419,QUEENS,Discontinued,Establishment Status,"March 01, 1985",,"September 06, 1995","September 06, 1995"
021690,119 EINSTEIN PHARMACY INC.,,119 EINSTEIN LOOP BRONX NY 10475,BRONX,Discontinued,Establishment Status,"May 21, 1993",,"May 01, 1996","May 01, 1996"
028123,119 EINSTEIN PHARMACY INC.,,119 EINSTEIN LOOP BRONX NY 10475,BRONX,Discontinued,Establishment Status,"April 23, 2007","April 23, 2007","March 04, 2008","March 04, 2008"
022989,119 EINSTEIN PHARMACY INC.,ASSOCIATED PHARMACY,119 EINSTEIN LOOP BRONX NY 10475,BRONX,Discontinued,Establishment Status,"August 15, 1996",,"February 13, 2002","February 13, 2002"
038426,12 MILE ROAD PHARMACY INC.,,3348 12 MILE ROAD BERKLEY MI 48072,,Active,Establishment Status,"August 21, 2020","August 21, 2020","July 31, 2023",
016941,120 E. PROSPECT AVE. DRUG CORP.,"PRESCRIPTION STORE, THE",120 E. PROSPECT AVE. MT. VERNON NY 10550,WESTCHESTER,Discontinued,Establishment Status,"October 29, 1980",,"June 18, 1998","June 18, 1998"
036034,121 CENTRAL PHARMACY CORP,CENTRAL PHARMACY,121 KENT AVE. BROOKLYN NY 11249-2993,KINGS,Transfer,Establishment Status,"January 30, 2018","January 30, 2018","December 01, 2020","December 01, 2020"
022244,121 PHARMACY INC.,,1938 SECOND AVE. NEW YORK NY 10029,NEW YORK,Transfer,Establishment Status,"December 28, 1994",,"April 15, 2003","April 15, 2003"
027272,121-16 LIBERTY AVENUE DRUGS INC.,CPW PHARMACY,121-16 LIBERTY AVE. RICHMOND HILL NY 11419-2112,QUEENS,Transfer,Establishment Status,"June 22, 2005","June 01, 2011","December 10, 2012","December 10, 2012"
028122,1219 FIRST AVENUE PHARMACY INC.,CHEMIST PHARMACY,93-30 43RD AVE. ELMHURST NY 11373,QUEENS,Discontinued,Establishment Status,"November 20, 2006","October 01, 2012","December 22, 2014","December 22, 2014"
027415,1225 FULTON AVENUE PHARMACY INC.,BEST CARE PHARMACY,1967 WESTCHESTER AVE. BRONX NY 10462,BRONX,Transfer,Establishment Status,"December 09, 2005","December 01, 2017","July 13, 2018","July 13, 2018"
020867,"1225 PHARMACY, INC.",,1225-1227 FULTON AVE. BRONX NY 10456,BRONX,Not Active,Establishment Status,Not On File,,"April 15, 1992","April 15, 1992"
031972,123 PHARMACY INC.,WE CARE PHARMACY,764 BURKE AVENUE BRONX NY 10467,BRONX,Active,Establishment Status,"June 21, 2013","June 01, 2022","May 31, 2025",
038735,123 PHARMACY INC.,,37-12 PRINCE ST. RETAIL F14 FLUSHING NY 11354,QUEENS,Active,Establishment Status,"March 18, 2021","March 18, 2021","February 29, 2024",
018881,13 1/2 PALISADES DRUG CORP.,,3021 3RD AVE. BRONX NY 10455,BRONX,Discontinued,Establishment Status,"November 21, 1985",,"June 26, 1992","June 26, 1992"
016759,130TH ST. COMMUNITY PHARMACY INC.,,301 WEST 130TH ST. NEW YORK NY 10027,NEW YORK,Discontinued,Establishment Status,"April 15, 1980",,"February 01, 1989","February 01, 1989"
034982,1325 FIFTH AVE. DRUGS INC.,OCEANSIDE PHARMACY & SUPERMARKET,3206 MERMAID AVE. BROOKLYN NY 11224-1810,KINGS,Active,Establishment Status,"November 18, 2016","November 01, 2022","October 31, 2025",
015748,133 DRUG CORP.,LAKEVIEW PHARMACY,133 LAKEVIEW AVE. LYNBROOK NY 11563,NASSAU,Active,Establishment Status,"February 19, 1977","March 01, 2022","February 28, 2025",
027564,133RD STREET PHARMACY INC.,,1473 AMSTERDAM AVE STORE 1 NEW YORK NY 10027,NEW YORK,Active,Establishment Status,"December 02, 2005","December 01, 2020","November 30, 2023",
038860,135 JERICHO PHARMACY CORP,,135 WEST JERICHO TURNPIKE STORE #3 HUNTINGTON STATION NY 11746,SUFFOLK,Active,Establishment Status,"June 28, 2021","June 28, 2021","May 31, 2024",
009951,1350 MADISON AVE. INC.,REXALL DRUGS,1335 MADISON AVE. NEW YORK NY 10128,NEW YORK,Discontinued,Establishment Status,"May 01, 1963",,"December 12, 2002","December 12, 2002"
304410,1351 SOUTHSIDE APOTHECARY LTD.,,1815 SOUTH CLINTON AVE. ROCHESTER NY 14618,MONROE,Discontinued,Establishment Status,"May 20, 1980",,"March 07, 1999","March 07, 1999"
016386,1351 SOUTHSIDE APOTHECARY LTD.,,C/O PHARMACY 1815 S. CLINTON AVE. ROCHESTER NY 14618,MONROE,Transfer,Establishment Status,"March 22, 1979",,"June 07, 1999","June 07, 1999"
018499,136 PHARMACY INC.,,136 B NAGLE AVE. NEW YORK NY 10040,NEW YORK,Discontinued,Establishment Status,"March 08, 1985",,"May 12, 1995","May 12, 1995"
027217,"1368 LINDEN BOULEVARD PHARMACY, INC.",LINDEN PHARMACY,1368 LINDEN BOULEVARD BROOKLYN NY 11212,KINGS,Transfer,Establishment Status,"July 11, 2005","July 01, 2008","February 13, 2009","February 13, 2009"
039032,137 MOTT PHARMACY INC.,,137 MOTT STREET NEW YORK NY 10013,NEW YORK,Active,Establishment Status,"August 24, 2021","August 24, 2021","July 31, 2024",
031858,137 PHARMACY CORP.,FAMILY PHARMACY,3 WEST 137TH ST. NEW YORK NY 10037,NEW YORK,Discontinued,Establishment Status,"July 26, 2013","July 26, 2013","February 19, 2015","February 19, 2015"
033068,"139 CENTER PHARMACY, LLC.",,139 CENTRE ST. STORE 105 NEW YORK NY 10013,NEW YORK,Active,Establishment Status,"September 19, 2014","September 01, 2020","August 31, 2023",
015978,139 PHARMACY INC.,,3415 BROADWAY NEW YORK NY 10031,NEW YORK,Active,Establishment Status,"October 28, 1977","November 01, 2022","October 31, 2025",
019084,1394 YORK PHARMACY INC.,ARLIN PHARMACY,1394 YORK AVE NEW YORK NY 10021,NEW YORK,Transfer,Establishment Status,"April 29, 1986",,"June 20, 1990","June 20, 1990"
030745,13TH AVE PHARMACY INC.,,5211-13TH AVE. BROOKLYN NY 11219,KINGS,Active,Establishment Status,"July 01, 2011","July 01, 2020","June 30, 2023",
016123,14 LAWRENCE AVENUE PHARMACY CORP.,LOWE DRUGS,14 LAWRENCE AVE. SMITHTOWN NY 11787,SUFFOLK,Discontinued,Establishment Status,"April 27, 1978",,"April 20, 1988","April 20, 1988"
036579,1400 ST NICHOLAS LLC,SAFE HEART PHARMACY,1400 ST. NICHOLAS AVE. NEW YORK NY 10033,NEW YORK,Active,Establishment Status,"June 22, 2018","June 01, 2021","May 31, 2024",
018809,1401 AVENUE U PHARMACY INC.,AVENUE U PRESCRIPTION CENTER,1401 AVE U BROOKLYN NY 11229,KINGS,Discontinued,Establishment Status,"October 04, 1985",,"July 06, 1999","July 06, 1999"
015396,1413 FULTON ST. PHARMACY INC.,,1413 FULTON ST. BROOKLYN NY 11216,KINGS,Transfer,Establishment Status,"March 01, 1976","April 01, 2007","March 23, 2009","March 23, 2009"
018470,1428 FLATBUSH AVE. PHARMACY INC.,,1428 FLATBUSH AVE. BROOKLYN NY 11210,KINGS,Discontinued,Establishment Status,"February 11, 1985",,"January 02, 1987","January 02, 1987"
034115,145TH ST PHARMACY INC.,,300 W. 145TH STREET NEW YORK NY 10039,NEW YORK,Active,Establishment Status,"December 17, 2015","December 01, 2021","November 30, 2024",
018340,"149 EAST PHARMACY, INC.",,229 EAST 149TH STREET BRONX NY 10451,BRONX,Discontinued,Establishment Status,"October 31, 1984",,"February 01, 1992","February 01, 1992"
018542,"1491 DEKALB AVE. PHARMACY, INC.",,1472 DEKALB AVE. BROOKLYN NY 11237,KINGS,Discontinued,Establishment Status,"April 08, 1985","May 01, 2013","July 30, 2013","July 30, 2013"
027656,1491 LEX PHARMACY INC.,LEXINGTON AVE CHEMISTS,1491 LEXINGTON AVENUE NEW YORK NY 10029,NEW YORK,Discontinued,Establishment Status,"February 06, 2006","February 01, 2009","April 27, 2011","April 27, 2011"
027728,15 W PHARMACY NY LLC,THE WELLMART PHARMACY,200 WESTAGE BUSINESS CENTER DRIVE FISHKILL NY 12524,DUTCHESS,Discontinued,Establishment Status,"August 01, 2006","August 01, 2006","November 21, 2007","November 21, 2007"
021084,1500 MET DRUG INC.,OVAL DRUG,1500 METROPOLITAN AVE. BRONX NY 10462,BRONX,Transfer,Establishment Status,"September 05, 1991","October 01, 2013","July 29, 2015","July 29, 2015"
021503,"1500 PHARMACY, INC.",,181 EIGHTH AVE. NEW YORK NY 10011,NEW YORK,Transfer,Establishment Status,"November 24, 1992",,"June 19, 1999","June 19, 1999"
019165,1514 PHARMACY INC.,STAR PHARMACY,1540 FIRST AVE NEW YORK NY 10028,NEW YORK,Discontinued,Establishment Status,"July 09, 1986",,"July 16, 1999","July 16, 1999"
034109,1525 ALBANY AVE MEAT LLC.,KEYFOOD,1525 ALBANY AVE. BROOKLYN NY 11210,KINGS,Not Active,Establishment Status,Not On File,,"December 30, 2015","December 30, 2015"
019357,158-14 DRUG CORP.,CASTLE PHARMACY,158-14 CROSS BAY BLVD. HOWARD BEACH NY 11414,QUEENS,Transfer,Establishment Status,"January 30, 1987",,"December 23, 1988","December 23, 1988"
026148,"158TH ST. NEIGHBORHOOD PHARMACY, LLC",,3103 3RD AVENUE BRONX NY 10457,FULTON,Discontinued,Establishment Status,"September 22, 2003","January 01, 2005","October 26, 2007","October 26, 2007"
026726,"15W PHARMACY-EDISON, INC.",15W PHARMACY EDISON DEPT,95 NEWFIELD AVENUE EDISON NJ 08837,,Transfer,Establishment Status,"May 17, 2004","May 01, 2007","January 17, 2008","January 17, 2008"
035767,161 ST. PHARMA INC.,161 ST PHARMACY & SURGICAL SUPPLIES,275 E 161ST ST. BRONX NY 10451,BRONX,Active,Establishment Status,"April 25, 2018","April 01, 2021","March 31, 2024",
027268,161 ST. PHARMACY INC.,161 ST. PHARMACY & DISCOUNT STORE,275 EAST 161ST. ST. BRONX NY 10451,BRONX,Transfer,Establishment Status,"August 18, 2005","August 01, 2017","April 25, 2018","April 25, 2018"
029665,1622 VOORHIES AVE PHARMACY INC.,SUNSHINE PHARMACY,1622 VOORHIES AVE BROOKLYN NY 11235,KINGS,Active,Establishment Status,"October 05, 2009","October 01, 2021","September 30, 2024",
019442,163 BROADWAY INC.,BROADWAY PRESCRIPTION CENTER,163 BROADWAY BUFFALO NY 14204,ERIE,Transfer,Establishment Status,"May 19, 1987",,"February 07, 1990","February 07, 1990"
013277,167 STREET PRESCRIPTION CENTER INC.,UNIVERSAL PRESCRIPTION CENTER,112 E. 167TH ST. BRONX NY 10452,BRONX,Discontinued,Establishment Status,"April 03, 1971","May 01, 2010","December 28, 2012","December 28, 2012"
038398,168 DME INC,168 PHARMACY,135-05 38TH AVE. FLUSHING NY 11354,QUEENS,Active,Establishment Status,"September 29, 2020","September 29, 2020","August 31, 2023",
017963,168TH ST. DRUGS INC.,QUEENSBRIDGE PHARMACY,10-37 41ST AVE. LONG ISLAND CITY NY 11101,QUEENS,Discontinued,Establishment Status,"November 30, 1983",,"June 21, 1994","June 21, 1994"
039526,169 DME INC.,169 PHARMACY,136-46 41ST AVE UNIT 1D FLUSHING NY 11355,QUEENS,Active,Establishment Status,"May 12, 2022","May 12, 2022","April 30, 2025",
019323,1698 86TH STREET PHARMACY CORP.,BENSONHURST PHARMACY,1698 86TH ST. BROOKLYN NY 11214,KINGS,Discontinued,Establishment Status,"December 01, 1986",,"April 08, 1996","April 08, 1996"
018786,1699 FANCY PHARMACY INC.,,1699 PITKIN AVE BROOKLYN NY 11212,KINGS,Discontinued,Establishment Status,"September 16, 1985",,"April 30, 1988","April 30, 1988"
019989,1699 FANCY PHARMACY INC.,,132 ALLEN ST. NEW YORK NY 10002-3008,NEW YORK,Active,Establishment Status,"October 28, 1988","November 01, 2022","October 31, 2025",
038082,16TH AVE PHARMACY LLC,,4605 16TH AVE. BROOKLYN NY 11204-1105,KINGS,Active,Establishment Status,"April 07, 2020","April 07, 2020","March 31, 2023",
024523,16TH AVENUE PHARMACY INC.,,4408 16TH AVENUE BROOKLYN NY 11204,KINGS,Discontinued,Establishment Status,"December 08, 1999","January 01, 2011","May 30, 2012","May 30, 2012"
024712,1708 PHARMACY INC.,,523 LENOX AVE. NEW YORK NY 10037,NEW YORK,Transfer,Establishment Status,"August 03, 2000","January 01, 2005","June 20, 2006","June 20, 2006"
021107,1717 SHERIDAN DRIVE BAZAAR SUPERMARKET CO.,BELLS PHARMACY,1717 SHERIDAN DR. TONAWANDA NY 14223,ERIE,Transfer,Establishment Status,"October 16, 1991",,"May 17, 1993","May 17, 1993"
020635,1717 SHERIDAN DRIVE SUPERMARKET CO.,BELLS PHARMACY,1717 SHERIDAN DRIVE TONAWANDA NY 14223,ERIE,Transfer,Establishment Status,"October 01, 1990",,"October 16, 1991","October 16, 1991"
020853,1717-1721 AVE. U CORP.,MORRIS DRUGS,1717-1721 AVENUE U BROOKLYN NY 11229,KINGS,Transfer,Establishment Status,"February 27, 1991","January 01, 2005","March 15, 2005","March 15, 2005"
031604,1721 CARNEGIE HILL PHARMACY INC.,CARNEGIE HILL PHARMACY,1721 BROADWAY NEW YORK NY 10019-5214,NEW YORK,Discontinued,Establishment Status,"February 14, 2013","February 01, 2022","April 15, 2022","April 15, 2022"
039423,173 PHARMACY CORP.,,572 W 173RD ST NEW YORK NY 10032,NEW YORK,Active,Establishment Status,"April 07, 2022","April 07, 2022","March 31, 2025",
023712,1746 PHARMACY CORP.,,524 CLARKSON AVENUE BROOKLYN NY 11432,KINGS,Not Active,Establishment Status,Not On File,,"January 01, 1999","January 01, 1999"
016591,"1746 PHARMACY, CORP.",CLARKSON PHARMACY,524 CLARKSON AVE. BROOKLYN NY 11203,KINGS,Active,Establishment Status,"October 24, 1979","November 01, 2022","October 31, 2025",
039842,175 JERICHO PHARMACY CORP,SYOSSET PHARMACY,175 JERICHO TURNPIKE WEST LOBBY SUITE SYOSSET NY 11791,NASSAU,Not Active,Establishment Status,Not On File,,"October 11, 2022","October 11, 2022"
036613,175 JERICHO PHARMACY CORP.,SYOSSET PHARMACY,175 JERICHO TPKE. WEST LOBBY SUITE SYOSSET NY 11791-4532,NASSAU,Active,Establishment Status,"May 24, 2018","May 01, 2021","April 30, 2024",
017558,1756 PHARMACY INC.,DRUG RICH PHARMACY,1756 3RD AVE. NEW YORK NY 10029,NEW YORK,Discontinued,Establishment Status,"September 13, 1982","January 01, 2005","November 30, 2006","November 30, 2006"
023743,"1756 PHARMACY, INC.",,1756 3RD. AVE. NEW YORK NY 10029,NEW YORK,Discontinued,Establishment Status,"July 15, 1998","September 01, 2004","November 30, 2006","November 30, 2006"
020824,1759 PHARMACY INC.,,2226 3RD AVE. NEW YORK NY 10035,NEW YORK,Discontinued,Establishment Status,"December 04, 1990",,"April 14, 1993","April 14, 1993"
018665,176TH STREET PHARMACY INC.,,1846 JEROME AVE. BRONX NY 10453,BRONX,Discontinued,Establishment Status,"June 20, 1985",,"April 01, 1988","April 01, 1988"
016468,1772 COLVIN PHARMACY INC.,ASK ME PHARMACY OF KENMORE,1770 COLVIN BLVD. KENMORE NY 14223,ERIE,Discontinued,Establishment Status,"June 26, 1979",,"November 21, 1991","November 21, 1991"
026615,"179 ATLANTIC, INC.",HEALTH MART PHARMACY,29 ATLANTIC AVENUE FREEPORT NY 11520,NASSAU,Active,Establishment Status,"April 27, 2004","May 01, 2022","April 30, 2025",
018417,"179 JAMAICA AVENUE DRUG STORE, INC.",,179 JAMAICA AVE. BROOKLYN NY 11207,KINGS,Discontinued,Establishment Status,"December 26, 1984",,"May 13, 1993","May 13, 1993"
018409,1797 DRUG CORP.,FRIENDLY PHARMACY,1797 BROADWAY BROOKLYN NY 11207,KINGS,Discontinued,Establishment Status,"December 13, 1984",,"August 04, 1992","August 04, 1992"
020760,17TH STREET APOTHECARY INC.,,11 EAST 17TH ST. NEW YORK NY 10003,NEW YORK,Discontinued,Establishment Status,"December 19, 1990",,"November 10, 2004","November 10, 2004"
034670,18 PHARMACY INC,MCP RX,89 BOWERY NEW YORK NY 10002,NEW YORK,Active,Establishment Status,"June 07, 2016","June 01, 2022","May 31, 2025",
025953,181 PHARMACY INC.,TULSI PHARMACY,565 W. 181 ST. ST. NEW YORK NY 10033,NEW YORK,Active,Establishment Status,"May 21, 2003","June 01, 2022","May 31, 2025",
038197,18217 RX INC,DI PHARMACY,182-17 JAMAICA AVE. JAMAICA NY 11423,QUEENS,Transfer,Establishment Status,"August 04, 2020","August 04, 2020","October 14, 2021","October 14, 2021"
033547,184 WELL CARE PHARMACY INC.,WELLCARE PHARMACY,70 EAST 184TH ST. BRONX NY 10468,BRONX,Transfer,Establishment Status,"July 01, 2015","July 01, 2015","August 23, 2017","August 23, 2017"
031663,184TH ST. PHARMACY CORP.,,2387 MORRIS AVENUE BRONX NY 10468-6515,BRONX,Discontinued,Establishment Status,"January 31, 2013","January 31, 2013","December 31, 2015","December 31, 2015"
028368,1875 LEXINGTON AVENUE CORP. OF NEW YORK,QUICK RX,C/O PHARMACY 1875 LEXINGTON AVENUE NEW YORK NY 10035,NEW YORK,Discontinued,Establishment Status,"May 02, 2007","May 01, 2016","August 13, 2018","August 13, 2018"
037007,1875 LEXINGTON AVENUE CORP. OF NEW YORK,,279 MAIN STREET SUITE 103 NEW PALTZ NY 12561-1623,ULSTER,Transfer,Establishment Status,"February 13, 2019","February 13, 2019","October 29, 2020","October 29, 2020"
038230,1875 LEXINGTON AVENUE LLC OF NYS,QUICK RX,279 MAIN ST. SUITE 103 NEW PALTZ NY 12561-1623,ULSTER,Active,Establishment Status,"October 29, 2020","October 29, 2020","September 30, 2023",
019935,1881 PHARMACY CORP.,,1881 GRAND CONCOURSE BRONX NY 10453,BRONX,Discontinued,Establishment Status,"September 07, 1988",,"March 01, 1993","March 01, 1993"
025629,18TH AVE. PHARMACY CORP.,,5411 18TH AVE. BROOKLYN NY 11204,KINGS,Transfer,Establishment Status,"March 14, 2003","April 01, 2016","May 20, 2016","May 20, 2016"
027708,"18TH AVENUE DRUG STORE, INC.",RX WORLD PHARMACY,8110 18TH AVENUE BROOKLYN NY 11214,KINGS,Discontinued,Establishment Status,"April 04, 2006","April 01, 2009","August 02, 2011","August 02, 2011"
016094,1940 DRUG MART INC.,TICK TOCK DRUGS,1350 DEER PARK AVE. NO. BABYLON NY 11703,SUFFOLK,Transfer,Establishment Status,"April 07, 1978",,"September 06, 1995","September 06, 1995"
016514,"195 5TH AVE. FARMACIA, INC.",,"195 5TH AVE. BROOKLYN, NY 11217",KINGS,Discontinued,Establishment Status,"August 29, 1979",,"November 25, 1998","November 25, 1998"
016936,1951 FLATBUSH AVENUE PHARMACY CORP.,BERKELEY PHARMACY,1951 FLATBUSH AVE. BROOKLYN NY 11234,KINGS,Transfer,Establishment Status,"November 01, 1980","December 01, 2007","January 09, 2009","January 09, 2009"
036986,"1ST AMERICA INFUSION SERVICES, LLC",ADVANCED INFUSIONCARE,212 NORTHSIDE DRIVE VALDOSTA GA 31602,,Active,Establishment Status,"October 01, 2018","October 01, 2021","September 30, 2024",
032975,1ST BRONXCARE PHARMACY INC.,,438 E. 149TH STREET BRONX NY 10455,BRONX,Transfer,Establishment Status,"December 08, 2014","December 08, 2014","April 13, 2017","April 13, 2017"
015909,2 D CHEMISTS INC.,MID-VILLAGE PHARMACY,51 BROADWAY GREENLAWN NY 11740,SUFFOLK,Transfer,Establishment Status,"August 22, 1977","September 01, 2010","May 23, 2011","May 23, 2011"
031932,"200 BASSETT ROAD OPERATING COMPANY, LLC.",,200 BASSETT ROAD WILLIAMSVILLE NY 14221-2639,ERIE,Not Registered,Establishment Status,"August 06, 2013","August 01, 2019","July 31, 2022",
031805,2000 NINOS INC.,2000 NINOS PHARMACY,3663 BROADWAY NEW YORK NY 10031,NEW YORK,Transfer,Establishment Status,"March 13, 2013","March 01, 2016","July 27, 2016","July 27, 2016"
022880,2000 NINOS PHARMACY INC.,,3663 BROADWAY NEW YORK NY 10031,NEW YORK,Transfer,Establishment Status,"June 18, 1996","July 01, 2010","March 13, 2013","March 13, 2013"
027339,2001 BATH AVE PHARMACY INC.,FAMILY PHARMACY,2001 BATH AVE BROOKLYN NY 11214,KINGS,Transfer,Establishment Status,"July 06, 2005","July 06, 2005","October 04, 2007","October 04, 2007"
028927,"2027 ALICO PHARMACY, CORP.",ALICO PHARMACY,2027 JEROME AVE BRONX NY 10453,BRONX,Transfer,Establishment Status,"July 10, 2008","July 01, 2020","December 09, 2022","December 09, 2022"
017620,203 WEST 231ST STREET PHARMACY INC.,STUART PHARMACY,203 W. 231ST ST. BRONX NY 10463,BRONX,Discontinued,Establishment Status,"November 18, 1982",,"December 31, 1998","December 31, 1998"
034610,2070 PHARMACY CORP.,TU SALUD PHARMACY,2070A JEROME AVENUE BRONX NY 10453-1817,BRONX,Discontinued,Establishment Status,"May 25, 2016","May 25, 2016","October 23, 2018","October 23, 2018"
022909,207TH STREET ENTERPRISES INC.,FARMACIA SAN JUDA TADEO,520 W. 207TH ST. NEW YORK NY 10034,NEW YORK,Transfer,Establishment Status,"May 28, 1996",,"August 05, 1999","August 05, 1999"
028463,21 AVE PHARMACY & MEDICAL SUPPLY INC.,,8511 21ST AVE BROOKLYN NY 11214,KINGS,Active,Establishment Status,"July 27, 2007","July 01, 2022","June 30, 2025",
022085,21 GRAHAM AVENUE PHARMACY CORP.,SAM'S DRUGS,21 GRAHAM AVE. BROOKLYN NY 11206,KINGS,Transfer,Establishment Status,"May 16, 1994",,"March 21, 1996","March 21, 1996"
017107,210 MERIT DYCKMAN CORP.,MERIT PHARMACY,210 DYCKMAN ST. NEW YORK NY 10040,NEW YORK,Discontinued,Establishment Status,"May 16, 1981",,"September 30, 1988","September 30, 1988"
026566,2101 CHURCH & FLATBUSH PHARMACY LLC,THRIFTWAY PHARMACY SUPER CENTER,C/O PHARMACY 2101 CHURCH AVE. BROOKLYN NY 11226,KINGS,Discontinued,Establishment Status,"July 28, 2004","July 28, 2004","July 25, 2005","July 25, 2005"
